pattVars,warningDelay;0,spawnDelay;4000,trgBinary;all,x;Xpos,y;Ypos,horizontal;hzt,lifespan;2000,kbAmount;kbAm,warnMsg;0,,,,
pattAdd,bp_knockback_line,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
newPattern,mbp_naturesBlessing_n,,,,,,,,,,,,
## total time: 13 seconds,,,,,,,,,,,,,
time,0,,,,,,,,,,,,
orderBinChaos,4,,,,,,,,,,,,
move,bfCenterX,bfCenterY,1000,,,,,,,,,,
,,,,,,,,,,,,,
time,1000,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,
pattVars,warningDelay;0,warningDelay2;0,spawnDelay;10000,x;enemyX,y;enemyY,element;green,radius;200,trgBinary;orderBin0,,,,,
pattAdd,bp_colormatch2,,,,,,,,,,,,
pattVars,warningDelay;2000,warningDelay2;2000,element;blue,radius;400,trgBinary;orderBin0+orderBin1,,,,,,,,
pattAdd,bp_colormatch2,,,,,,,,,,,,
pattVars,warningDelay;4000,warningDelay2;4000,element;yellow,radius;625,trgBinary;orderBin0+orderBin1+orderBin2,,,,,,,,
pattAdd,bp_colormatch2,,,,,,,,,,,,
,,,,,,,,,,,,,
anim,0,10000,12000,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
newPattern,mbp_strikeCommand_n,,,,,,,,,,,,
## total time: 12ish seconds,,,,,,,,,,,,,
time,0,,,,,,,,,,,,
setVar,Xoff,randomSign*(bfCenterX/1.5),,,,,,,,,,,
setVar,Yoff,randomSign*(bfCenterY/2),,,,,,,,,,,
setVar,Xpos,bfCenterX+Xoff,,,,,,,,,,,
setVar,Ypos,bfCenterY+Yoff,,,,,,,,,,,
move,Xpos,Ypos,1000,,,,,,,,,,
,,,,,,,,,,,,,
time,2000,,,,,,,,,,,,
facePoint,bfCenterX,,,,,,,,,,,,
setVar,ang,pointFrom(enemyX>enemyY>bfCenterX>bfCenterY),,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;9000,eraseDelay;10000,x;enemyX,y;enemyY,angle;(90*randomSign),radius;200,rot;ang,width;100,num;2,,,
pattAdd,bp_ray_spinfast,,,,,,,,,,,,
,,,,,,,,,,,,,
time,9000,,,,,,,,,,,,
anim,0,2000,3000,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
newPattern,mbp_abyssalCall_n,,,,,,,,,,,,
## total time: 19 seconds,,,,,,,,,,,,,
time,0,,,,,,,,,,,,
move,bfCenterX,bfCenterY,1000,,,,,,,,,,
,,,,,,,,,,,,,
timeRepeatTimes,1000,6000,4,,,,,,,,,,
setVar,R,randomRange(300>600),,,,,,,,,,,
setVar,aoeR,R-150,,,,,,,,,,,
setVar,aoeS,aoeR/200,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;5000,x;enemyX,y;enemyY,radius;R,spd;4,element;green,doubled;1,,,,,
pattAdd,bp_prscircle,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;5000,eraseDelay;5500,scale;aoeS,numPoints;1,posX_0;enemyX,posY_0;enemyY,,,,,,
pattAdd,bp_light_targeted,,,,,,,,,,,,
anim,2,5000,6000,,,,,,,,,,
