####################################################################
####################################################################
newPattern,mbp_bird_archon_0m
time,0
anim,0,2000,9000
pattVars,warningDelay;0,spawnDelay;2000,radius;200,numPoints;1,posX_0;enemyX,posY_0;enemyY
pattAdd,bp_circle_position
setVar,py,bfCenterY-signY*(spaceY*1)
pattVars,spawnDelay;7000-1*baseTime,eraseDelay;8300-1*baseTime,scale;baseScale,type;0,numPoints;7,posX_0;px8+random(randMax)-randMax/2,posY_0;py+random(randMax)-randMax/2,posX_1;px9+random(randMax)-randMax/2,posY_1;py+random(randMax)-randMax/2,posX_2;px10+random(randMax)-randMax/2,posY_2;py+random(randMax)-randMax/2,posX_3;px11+random(randMax)-randMax/2,posY_3;py+random(randMax)-randMax/2,posX_4;px12+random(randMax)-randMax/2,posY_4;py+random(randMax)-randMax/2,posX_5;px13+random(randMax)-randMax/2,posY_5;py+random(randMax)-randMax/2,posX_6;px14+random(randMax)-randMax/2,posY_6;py+random(randMax)-randMax/2,
pattAdd,bp_delayed_target_circle

time,5500
setVar,py,bfCenterY
pattVars,spawnDelay;7000-2*baseTime,eraseDelay;8300-2*baseTime,scale;baseScale,type;0,numPoints;8,posX_0;px15+random(randMax)-randMax/2,posY_0;py+random(randMax)-randMax/2,posX_1;px16+random(randMax)-randMax/2,posY_1;py+random(randMax)-randMax/2,posX_2;px17+random(randMax)-randMax/2,posY_2;py+random(randMax)-randMax/2,posX_3;px18+random(randMax)-randMax/2,posY_3;py+random(randMax)-randMax/2,posX_4;px19+random(randMax)-randMax/2,posY_4;py+random(randMax)-randMax/2,posX_5;px20+random(randMax)-randMax/2,posY_5;py+random(randMax)-randMax/2,posX_6;px21+random(randMax)-randMax/2,posY_6;py+random(randMax)-randMax/2,posX_7;px22+random(randMax)-randMax/2,posY_7;py+random(randMax)-randMax/2,
pattAdd,bp_delayed_target_circle

time,5750
setVar,py,bfCenterY+signY*(spaceY*1)
pattVars,spawnDelay;7000-3*baseTime,eraseDelay;8300-3*baseTime,scale;baseScale,type;0,numPoints;7,posX_0;px23+random(randMax)-randMax/2,posY_0;py+random(randMax)-randMax/2,posX_1;px24+random(randMax)-randMax/2,posY_1;py+random(randMax)-randMax/2,posX_2;px25+random(randMax)-randMax/2,posY_2;py+random(randMax)-randMax/2,posX_3;px26+random(randMax)-randMax/2,posY_3;py+random(randMax)-randMax/2,posX_4;px27+random(randMax)-randMax/2,posY_4;py+random(randMax)-randMax/2,posX_5;px28+random(randMax)-randMax/2,posY_5;py+random(randMax)-randMax/2,posX_6;px29+random(randMax)-randMax/2,posY_6;py+random(randMax)-randMax/2,
pattAdd,bp_delayed_target_circle

time,6000
setVar,py,bfCenterY+signY*(spaceY*2)
pattVars,spawnDelay;7000-4*baseTime,eraseDelay;8300-4*baseTime,scale;baseScale,type;0,numPoints;8,posX_0;px30+random(randMax)-randMax/2,posY_0;py+random(randMax)-randMax/2,posX_1;px31+random(randMax)-randMax/2,posY_1;py+random(randMax)-randMax/2,posX_2;px32+random(randMax)-randMax/2,posY_2;py+random(randMax)-randMax/2,posX_3;px33+random(randMax)-randMax/2,posY_3;py+random(randMax)-randMax/2,posX_4;px34+random(randMax)-randMax/2,posY_4;py+random(randMax)-randMax/2,posX_5;px35+random(randMax)-randMax/2,posY_5;py+random(randMax)-randMax/2,posX_6;px36+random(randMax)-randMax/2,posY_6;py+random(randMax)-randMax/2,posX_7;px37+random(randMax)-randMax/2,posY_7;py+random(randMax)-randMax/2,
pattAdd,bp_delayed_target_circle
