,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
newPattern,mbp_shadowBarrier,,,,,,,,,,,,,,,
## total time: 2 seconds,,,,,,,,,,,,,,,,
time,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,spawnDelay;2000,trgBinary;all,element;red,x;bfCenterX,y;bfCenterY,width;bfMaxY,height;bfMaxY,,,,,,,,,
orderBinRandom,1,3,,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,radius;300,warningDelay;0,spawnDelay;2000,trgBinary;orderBin0,,,,,,,,,,,,
pattAdd,bp_circle_spreads,,,,,,,,,,,,,,,
setVar,offX,-offX,,,,,,,,,,,,,,
move,bfCenterX+offX,bfCenterY,1000,,,,,,,,,,,,,
anim,3,0,1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
newPattern,mbp_fury,,,,,,,,,,,,,,,
## total time: 17 seconds,,,,,,,,,,,,,,,,
time,0,,,,,,,,,,,,,,,
setVar,dirX,randomSign,,,,,,,,,,,,,,
setVar,dirY,randomSign,,,,,,,,,,,,,,
setVar,distX,(bfCenterX/3)*2,,,,,,,,,,,,,,
setVar,distY,(bfCenterY)/2,,,,,,,,,,,,,,
setVar,offX,dirX*distX,,,,,,,,,,,,,,
setVar,offY,dirY*distY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
move,bfCenterX,bfCenterY,1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
## telegraph,,,,,,,,,,,,,,,,
time,1000,,,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,warningDelay;1000,spawnDelay;9000,timeBetween;2000,timeExtra;0,element;red,radius;100,trgBinary;0,numPoints;4,posX_0;bfCenterX+offX,posY_0;bfCenterY+offY,posX_1;bfCenterX-offX,posY_1;bfCenterY-offY,posX_2;bfCenterX-offX,posY_2;bfCenterY+offY,posX_3;bfCenterX+offX,posY_3;bfCenterY-offY
pattAdd,bp_colormatch3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
## vfx,,,,,,,,,,,,,,,,
timeRepeatTimes,1000,2000,4,,,,,,,,,,,,,
anim,2,1000,2000,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,warningDelay;1000,warningDelay2;1000,spawnDelay;1000,x;enemyX,y;enemyY,element;red,radius;0,trgBinary;0,warnMsg;0,,,,,,,
pattAdd,bp_colormatch2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timeRepeatTimes,8000,250,4,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,warningDelay;1000,warningDelay2;1000,spawnDelay;1000,x;enemyX,y;enemyY,element;red,radius;0,trgBinary;0,warnMsg;0,,,,,,,
pattAdd,bp_colormatch2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,8000,,,,,,,,,,,,,,,
anim,2,0,1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
## attacks,,,,,,,,,,,,,,,,
timeRepeatTimes,10000,2000,4,,,,,,,,,,,,,
facePoint,bfCenterX,,,,,,,,,,,,,,,
setVar,ang,pointFrom(enemyX>enemyY>bfCenterX>enemyY),,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,
pattVars,warningDelay;1000,spawnDelay;1000,eraseDelay;1500,x;enemyX,y;enemyY,angle;ang,width;bfCenterY,,,,,,,,,
pattAdd,bp_ray_single,,,,,,,,,,,,,,,
anim,1,1000,1500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
## moves,,,,,,,,,,,,,,,,
time,9500,,,,,,,,,,,,,,,
move,bfCenterX+offX,bfCenterY+offY,450,,,,,,,,,,,,,
anim,3,0,500,,,,,,,,,,,,,
time,11500,,,,,,,,,,,,,,,
move,bfCenterX-offX,bfCenterY-offY,450,,,,,,,,,,,,,
anim,3,0,500,,,,,,,,,,,,,
time,13500,,,,,,,,,,,,,,,
move,bfCenterX-offX,bfCenterY+offY,450,,,,,,,,,,,,,
anim,3,0,500,,,,,,,,,,,,,
time,15500,,,,,,,,,,,,,,,
move,bfCenterX+offX,bfCenterY-offY,450,,,,,,,,,,,,,
anim,3,0,500,,,,,,,,,,,,,
