pattVars,warningDelay;0,spawnDelay;500,showWarning;0,ringNum;2,x;enemyX,y;enemyY,angle;angOne,offset;0,num;bullNum,type;2
pattAdd,bp_fire2_blast,,,,,,,,,
pattVars,angle;angTwo,,,,,,,,,
pattAdd,bp_fire2_blast,,,,,,,,,
pattVars,angle;angThr,,,,,,,,,
pattAdd,bp_fire2_blast,,,,,,,,,
pattVars,angle;angFour,,,,,,,,,
pattAdd,bp_fire2_blast,,,,,,,,,
,,,,,,,,,,
anim,1,500,1000,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
newPattern,mbp_CarefulAim,,,,,,,,,
## total time: 9 seconds,,,,,,,,,,
time,0,,,,,,,,,
,,,,,,,,,,
setVar,updown,(bfMaxY/4)*randomSign,,,,,,,,
setVar,leftright,(bfCenterX+300)*randomSign,,,,,,,,
move,bfCenterX,bfCenterY+updown,1000,,,,,,,
,,,,,,,,,,
time,2000,,,,,,,,,
move,bfCenterX+leftright,bfCenterY+updown,2000,,,,,,,
anim,3,0,2000,,,,,,,
,,,,,,,,,,
time,5000,,,,,,,,,
,,,,,,,,,,
setVar,ang,pointFrom(enemyX>bfCenterY>bfCenterX>bfCenterY),,,,,,,,
pattVarReset,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;0,eraseDelay;2000,x;enemyX,y;enemyY,angle;ang,width;500,,,
pattAdd,bp_ray_single,,,,,,,,,
,,,,,,,,,,
time,8000,,,,,,,,,
move,bfCenterX,bfCenterY+updown,1000,,,,,,,
anim,3,0,1000,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
newPattern,mbp_Cut,,,,,,,,,
## total time: 9 seconds,,,,,,,,,,
timeRepeatTimes,0,1500,6,,,,,,,
orderBinRandom,1,1,1,1,,,,,,
,,,,,,,,,,
setVar,target,randomTargetId(orderBin0),,,,,,,,
setVar,tarX,playerXPos(target),,,,,,,,
setVar,tarY,playerYPos(target),,,,,,,,
,,,,,,,,,,
move,tarX,tarY,500,,,,,,,
facePoint,tarX,,,,,,,,,
pattVarReset,,,,,,,,,,
pattVar,warningDelay;500,spawnDelay;1000,eraseDelay;3000,trgBinary;all,scale;1,numPoints;1,posX_0;tarX,posY_0;tarY,,
pattAdd,bp_fire_aoe,,,,,,,,,
,,,,,,,,,,
anim,3,500,1000,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
newPattern,mbp_Barrage,,,,,,,,,
## total time: 11 seconds,,,,,,,,,,
time,0,,,,,,,,,
move,bfCenterX,bfCenterY,1000,,,,,,,
,,,,,,,,,,
timeRepeatTimes,1000,1000,10,,,,,,,
setVar,rangeX,bfCenterX-200,,,,,,,,
setVar,rangeY,bfCenterY-100,,,,,,,,
,,,,,,,,,,
setVar,Xone,enemyX+(irandom(rangeX))*(randomSign),,,,,,,,
setVar,Yone,enemyY+(irandom(rangeY))*(randomSign),,,,,,,,
setVar,Xtwo,enemyX+(irandom(rangeX))*(randomSign),,,,,,,,
setVar,Ytwo,enemyY+(irandom(rangeY))*(randomSign),,,,,,,,
setVar,Xthr,enemyX+(irandom(rangeX))*(randomSign),,,,,,,,
setVar,Ythr,enemyY+(irandom(rangeY))*(randomSign),,,,,,,,
,,,,,,,,,,
pattVarReset,,,,,,,,,,
pattVars,spawnDelay;2000,eraseDelay;6000,scale;0.5,numPoints;3,posX_0;Xone,posY_0;Yone,posX_1;Xtwo,posY_1;Ytwo,posX_2;Xthr,posY_2;Ythr
pattAdd,bp_delayed_target_circle,,,,,,,,,
,,,,,,,,,,
anim,2,350,750,,,,,,,
faceRandom,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
newPattern,mbp_Assassinate,,,,,,,,,
## total time: 11.2 seconds,,,,,,,,,,
time,0,,,,,,,,,
,,,,,,,,,,
setVar,R,150,,,,,,,,
setVar,ang,90,,,,,,,,
,,,,,,,,,,
orderBinRandom,1,1,1,1,,,,,,
,,,,,,,,,,
time,1000,,,,,,,,,
pattVarReset,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;8200,element;blue,radius;200,trgBinary;orderBin0,,,,,
pattAdd,bp_colormatch,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
timeRepeatTimes,1000,200,35,,,,,,,
setVar,target,randomTargetId(orderBin0),,,,,,,,
setVar,pX,playerXPos(target),,,,,,,,
setVar,pY,playerYPos(target),,,,,,,,
setVar,ang,20+ang,,,,,,,,
setVar,R,250,,,,,,,,
pattVarReset,,,,,,,,,,
pattVars,x;(pX+(R*cos(ang))),y;(pY+(R*sin(ang))),duration;400,spawnDelay;500,resetAnim;0,,,,,
pattAdd,bp_move_position_synced,,,,,,,,,
facePoint,pX,,,,,,,,,
,,,,,,,,,,
time,1000,,,,,,,,,
anim,2,0,7200,,,,,,,
,,,,,,,,,,
time,8200,,,,,,,,,
move,pX,pY,400,,,,,,,
pattVarReset,,,,,,,,,,
pattVar,warningDelay;0,spawnDelay;2000,eraseDelay;3000,trgBinary;all,scale;3,numPoints;1,posX_0;pX,posY_0;pY,,
pattAdd,bp_fire_aoe,,,,,,,,,
anim,0,2000,3000,,,,,,,
